Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County
Mean Annual Earnings,2011,Male,Limerick,50 - 59 years,Euro,52744,LIMERICK
Mean Annual Earnings,2011,Male,Limerick,60 years and over,Euro,41071,LIMERICK
Mean Annual Earnings,2011,Male,Leitrim,15 - 24 years,Euro,18249,LEITRIM
Mean Annual Earnings,2011,Male,Leitrim,15 years and over,Euro,37791,LEITRIM
Mean Annual Earnings,2011,Male,Leitrim,25 - 29 years,Euro,31650,LEITRIM
Mean Annual Earnings,2011,Male,Leitrim,30 - 39 years,Euro,41095,LEITRIM
Mean Annual Earnings,2011,Male,Leitrim,40 - 49 years,Euro,42555,LEITRIM
Mean Annual Earnings,2011,Male,Leitrim,50 - 59 years,Euro,38076,LEITRIM
Mean Annual Earnings,2011,Male,Leitrim,60 years and over,Euro,28200,LEITRIM
Mean Annual Earnings,2011,Male,Laois,15 - 24 years,Euro,19012,LAOIS
Mean Annual Earnings,2011,Male,Laois,15 years and over,Euro,42409,LAOIS
Mean Annual Earnings,2011,Male,Laois,25 - 29 years,Euro,32013,LAOIS
Mean Annual Earnings,2011,Male,Laois,30 - 39 years,Euro,42791,LAOIS
Mean Annual Earnings,2011,Male,Laois,40 - 49 years,Euro,49555,LAOIS
Mean Annual Earnings,2011,Male,Laois,50 - 59 years,Euro,47656,LAOIS
Mean Annual Earnings,2011,Male,Laois,60 years and over,Euro,34682,LAOIS
Mean Annual Earnings,2011,Male,Meath,15 - 24 years,Euro,19334,MEATH
Mean Annual Earnings,2011,Male,Meath,15 years and over,Euro,48631,MEATH
Mean Annual Earnings,2011,Male,Meath,25 - 29 years,Euro,32685,MEATH
Mean Annual Earnings,2011,Male,Meath,30 - 39 years,Euro,46958,MEATH
Mean Annual Earnings,2011,Male,Meath,40 - 49 years,Euro,58341,MEATH
Mean Annual Earnings,2011,Male,Meath,50 - 59 years,Euro,58231,MEATH
Mean Annual Earnings,2011,Male,Meath,60 years and over,Euro,42271,MEATH
