Statistic Label,Year,Sex,County,Age Group,UNIT,VALUE,Upper_County,Mean_Median_Diff,Mean_Median_Diff_Perc
Mean Annual Earnings,2011,Male,Cavan,25 - 29 years,Euro,30279,CAVAN,2615.0,9.452718334297282
Mean Annual Earnings,2011,Male,Cavan,30 - 39 years,Euro,38299,CAVAN,4627.0,13.741387502969827
Mean Annual Earnings,2011,Male,Cavan,40 - 49 years,Euro,44363,CAVAN,6874.0,18.336045239937047
Mean Annual Earnings,2011,Male,Cavan,50 - 59 years,Euro,44207,CAVAN,5441.0,14.035495021410515
Mean Annual Earnings,2011,Male,Cavan,60 years and over,Euro,34470,CAVAN,5249.0,17.963108723178536
Mean Annual Earnings,2011,Male,Carlow,15 - 24 years,Euro,19935,CARLOW,2103.0,11.793405114401077
Mean Annual Earnings,2011,Male,Carlow,15 years and over,Euro,38715,CARLOW,5413.0,16.254279022280944
Mean Annual Earnings,2011,Male,Carlow,25 - 29 years,Euro,30335,CARLOW,1774.0,6.211267112496061
Mean Annual Earnings,2011,Male,Carlow,30 - 39 years,Euro,38712,CARLOW,4258.0,12.358506994833691
Mean Annual Earnings,2011,Male,Carlow,40 - 49 years,Euro,45278,CARLOW,7108.0,18.62195441446162
Mean Annual Earnings,2011,Male,Carlow,50 - 59 years,Euro,43339,CARLOW,6470.0,17.548618080230003
Mean Annual Earnings,2011,Male,Carlow,60 years and over,Euro,34800,CARLOW,6007.0,20.862709686382107
Mean Annual Earnings,2011,Male,Donegal,15 - 24 years,Euro,15971,DONEGAL,1156.0,7.802902463719204
Mean Annual Earnings,2011,Male,Donegal,15 years and over,Euro,34618,DONEGAL,5342.0,18.24702828255226
Mean Annual Earnings,2011,Male,Donegal,25 - 29 years,Euro,26975,DONEGAL,2893.0,12.01312183373474
Mean Annual Earnings,2011,Male,Donegal,30 - 39 years,Euro,35105,DONEGAL,4100.0,13.223673601032091
Mean Annual Earnings,2011,Male,Donegal,40 - 49 years,Euro,39658,DONEGAL,5401.0,15.766120792830662
Mean Annual Earnings,2011,Male,Donegal,50 - 59 years,Euro,40268,DONEGAL,4126.0,11.416081013778983
Mean Annual Earnings,2011,Male,Donegal,60 years and over,Euro,30529,DONEGAL,7129.0,30.465811965811966
Mean Annual Earnings,2011,Male,Dublin,15 - 24 years,Euro,19404,DUBLIN,1116.0,6.102362204724409
Mean Annual Earnings,2011,Male,Dublin,15 years and over,Euro,51280,DUBLIN,11100.0,27.625684420109508
Mean Annual Earnings,2011,Male,Dublin,25 - 29 years,Euro,32207,DUBLIN,2927.0,9.996584699453551
Mean Annual Earnings,2011,Male,Dublin,30 - 39 years,Euro,48507,DUBLIN,7730.0,18.95676484292616
Mean Annual Earnings,2011,Male,Dublin,40 - 49 years,Euro,65387,DUBLIN,15136.0,30.120793616047443
Mean Annual Earnings,2011,Male,Dublin,50 - 59 years,Euro,64392,DUBLIN,13340.0,26.130220167672178
Mean Annual Earnings,2011,Male,Dublin,60 years and over,Euro,50239,DUBLIN,11881.0,30.9739819594348
Mean Annual Earnings,2011,Male,Galway,15 - 24 years,Euro,18197,GALWAY,1024.0,5.9628486577767426
Mean Annual Earnings,2011,Male,Galway,15 years and over,Euro,42041,GALWAY,7027.0,20.069115211058435
